amfi_code,cagr,cagr_pct,sharpe_ratio,alpha,beta,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,mdd_rank,overall_score,overall_rank,score,final_rank
120504,0.2327744753273051,23.28,1.4745261162183931,21.609064980413415,-2.613923398813752,-0.12588275606922517,13.0,11.0,11.0,29.0,64.0,12.0,16.1,12.0
148568,0.22499840384352243,22.5,1.3433551895179476,20.841945067406474,-0.35965236798082756,-0.1527259422823477,14.0,16.0,14.0,22.0,66.0,13.0,16.5,13.0
119552,0.21508021785499332,21.51,1.4149216730956589,20.04759738244674,-1.8618719456253623,-0.11803493502764295,15.0,14.0,15.0,30.0,74.0,15.0,18.5,15.0
125497,0.19003613208378556,19.0,1.2144744446276057,17.762203771043477,0.8449617960571595,-0.15200013055606398,16.0,21.0,16.0,23.0,76.0,16.0,19.0,16.0
120503,0.18771330105513617,18.77,1.2614413998349434,17.55417235928387,0.18104631368765245,-0.13897862823061635,17.0,19.0,18.0,27.0,81.0,19.5,20.2,20.0
102885,0.18218826089343754,18.22,1.3183991958911483,17.094095164685527,-0.7555188223630713,-0.1085986215250232,18.0,18.0,19.0,34.0,89.0,22.0,22.2,22.0
120506,0.17072227512921923,17.07,1.0713857897052645,16.00230125795732,2.729891461008753,-0.1982565826298267,19.0,27.0,21.0,14.0,81.0,19.5,20.15,19.0
102887,0.16828673461948984,16.83,1.0278720873174114,16.106251568117862,1.1217405044515627,-0.21539827112383225,20.0,28.0,20.0,11.0,79.0,18.0,19.75,18.0
118634,0.16361396476593382,16.36,0.7033711029802946,17.56812317733217,1.801235144289969,-0.2334488614483311,21.0,31.0,17.0,9.0,78.0,17.0,19.700000000000003,17.0
118633,0.16262218000296524,16.26,1.1049417940930661,15.755299358545503,-1.6086486639146476,-0.18629743138595511,22.0,25.0,22.0,15.0,84.0,21.0,21.0,21.0
118635,0.15945481185082522,15.95,1.1604990886054285,15.065271641931977,0.4783934691773845,-0.1165062450540909,23.0,24.0,23.0,31.0,101.0,28.0,25.25,28.0
120841,0.13522349085511554,13.52,0.9722209630524324,13.270798966179028,-0.8324367260956678,-0.1757361416468729,24.0,29.0,25.0,17.0,95.0,24.0,23.7,24.0
149322,0.13383520958789363,13.38,0.9123489195402259,13.30751678653264,-1.0532478260407636,-0.14844576917771746,25.0,30.0,24.0,25.0,104.0,31.0,26.05,31.0
125498,0.11293660210400969,11.29,0.651246685451241,11.764356212760838,1.8124989067816777,-0.21117279560132118,26.0,32.0,26.0,12.0,96.0,25.0,24.0,25.0
101207,0.07933120999915699,7.93,0.4121052637906319,11.024955018619277,-2.3588228858982982,-0.3544691649336603,27.0,36.0,27.0,3.0,93.0,23.0,23.25,23.0
119093,0.07891944369437343,7.89,0.5898064431893569,8.09181726569557,1.5830155014591212,-0.21751396370148224,28.0,33.0,28.0,10.0,99.0,26.0,24.75,26.0
120507,0.0723241093234459,7.23,13.524343561565445,6.751273831066395,-0.04613556409755695,-0.0009773140045925555,29.0,1.0,30.0,40.0,100.0,27.0,24.95,27.0
120844,0.0691037983940288,6.91,12.447364675579795,6.4605419002663504,-0.04375058641499332,-0.0011629327956168556,30.0,2.0,32.0,39.0,103.0,29.5,25.65,29.0
120842,0.06696806255006482,6.7,0.4356032280186494,8.048155879789702,-1.3501034947778527,-0.24003511326274884,31.0,35.0,29.0,8.0,103.0,29.5,25.849999999999998,30.0
101208,0.06504429821332125,6.5,11.890846819241734,6.085212112251845,0.012587504716301351,-0.0016224980244717857,32.0,3.0,33.0,38.0,106.0,32.0,26.45,32.0
119092,0.0636349475771898,6.36,0.4920533057360716,6.701143712338227,1.6382992455286165,-0.1440161790933726,33.0,34.0,31.0,26.0,124.0,37.0,31.099999999999998,37.0
119120,0.05885271270380055,5.89,1.3955317045613682,5.606050670324882,-0.035082554474262444,-0.04328728923970093,34.0,15.0,34.0,36.0,119.0,35.0,29.75,35.0
118636,0.053131554027608274,5.31,1.2579579707914614,5.106074372270833,-0.19685309804787476,-0.08316361763638702,35.0,20.0,35.0,35.0,125.0,38.0,31.25,38.0
100025,0.04455091155784441,4.46,1.0806889261776655,4.333049544115673,-0.3422176726339635,-0.04308263824636349,36.0,26.0,38.0,37.0,137.0,40.0,34.15,40.0
100016,0.026352458116335464,2.64,0.2408076762991802,3.500802012277681,0.4843355020744266,-0.24734440880673303,37.0,37.0,39.0,7.0,120.0,36.0,29.900000000000002,36.0
119599,0.02053064146209893,2.05,0.20072791240814924,4.932806552405366,1.0072663601756604,-0.5257422117012851,38.0,38.0,36.0,1.0,113.0,33.0,28.349999999999998,33.0
119095,0.015204552427132478,1.52,0.1807427395579742,4.8752775811319395,-2.0067492788233503,-0.5167775370852656,39.0,39.0,37.0,2.0,117.0,34.0,29.35,34.0
102886,0.0117093879842316,1.17,0.14901539240049871,3.194911544827528,-3.0680122817594846,-0.2800112356639287,40.0,40.0,40.0,6.0,126.0,39.0,31.5,39.0
