amfi_code,cagr,cagr_pct,sharpe_ratio_calc,sortino_ratio_calc,max_drawdown_calc,alpha_calc,beta_calc,return_3yr_pct,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_3yr_score,rank_sharpe_score,rank_alpha_score,rank_expense_score,rank_drawdown,rank_drawdown_score,fund_score
118634,0.16361396476593382,16.36,0.7033711029802946,1.1701278745993944,-0.2334488614483311,17.56812317733217,1.801235144289969,20.15,1.53,5.0,31.0,17.0,28.5,90.0,25.0,60.0,31.25,32.0,22.5,52.1875
101208,0.06504429821332125,6.5,11.890846819241734,24.509273614192658,-0.0016224980244717857,6.085212112251845,0.012587504716301351,5.14,0.79,40.0,3.0,33.0,11.0,2.5,95.0,20.0,75.0,3.0,95.0,49.25
125498,0.11293660210400969,11.29,0.651246685451241,1.102293818576962,-0.21117279560132118,11.764356212760838,1.8124989067816777,15.29,0.78,14.0,32.0,26.0,10.0,67.5,22.5,37.5,77.5,29.0,30.0,48.0
120506,0.17072227512921923,17.07,1.0713857897052645,1.80946973039723,-0.1982565826298267,16.00230125795732,2.729891461008753,14.76,1.41,18.0,27.0,21.0,19.0,57.49999999999999,35.0,50.0,55.00000000000001,27.0,35.0,47.75
119599,0.02053064146209893,2.05,0.20072791240814924,0.33130400059817156,-0.5257422117012851,4.932806552405366,1.0072663601756604,23.14,0.72,2.0,38.0,36.0,5.5,97.5,7.5,12.5,88.75,40.0,2.5,47.1875
118633,0.16262218000296524,16.26,1.1049417940930661,1.9770827088861729,-0.18629743138595511,15.755299358545503,-1.6086486639146476,12.33,0.72,27.0,25.0,22.0,5.5,35.0,40.0,47.5,88.75,26.0,37.5,47.0625
120503,0.18771330105513617,18.77,1.2614413998349434,2.1150304323255575,-0.13897862823061635,17.55417235928387,0.18104631368765245,11.54,1.42,33.0,19.0,18.0,20.0,20.0,55.00000000000001,57.49999999999999,52.5,14.0,67.5,45.875
102885,0.18218826089343754,18.22,1.3183991958911483,2.3165862815067553,-0.1085986215250232,17.094095164685527,-0.7555188223630713,12.1,1.57,30.0,18.0,19.0,34.0,27.500000000000004,57.49999999999999,55.00000000000001,17.5,7.0,85.0,44.75
118635,0.15945481185082522,15.95,1.1604990886054285,1.9863232964100244,-0.1165062450540909,15.065271641931977,0.4783934691773845,11.77,0.89,32.0,24.0,23.0,13.0,22.5,42.5,45.0,70.0,10.0,77.5,44.625
101207,0.07933120999915699,7.93,0.4121052637906319,0.7008842091074151,-0.3544691649336603,11.024955018619277,-2.3588228858982982,22.38,1.53,3.0,36.0,27.0,28.5,95.0,12.5,35.0,31.25,38.0,7.5,44.0625
119120,0.05885271270380055,5.89,1.3955317045613682,2.320597629601997,-0.04328728923970093,5.606050670324882,-0.035082554474262444,6.07,0.77,38.0,15.0,34.0,9.0,7.5,65.0,17.5,80.0,5.0,90.0,43.0
102887,0.16828673461948984,16.83,1.0278720873174114,1.8064073565219845,-0.21539827112383225,16.106251568117862,1.1217405044515627,15.34,1.64,13.0,28.0,20.0,39.5,70.0,32.5,52.5,3.75,30.0,27.500000000000004,42.9375
118636,0.053131554027608274,5.31,1.2579579707914614,2.1641193723489693,-0.08316361763638702,5.106074372270833,-0.19685309804787476,5.31,0.55,39.0,20.0,35.0,1.0,5.0,52.5,15.0,100.0,6.0,87.5,41.375
119095,0.015204552427132478,1.52,0.1807427395579742,0.3049562479264603,-0.5167775370852656,4.8752775811319395,-2.0067492788233503,20.98,1.38,4.0,39.0,37.0,17.0,92.5,5.0,10.0,60.0,39.0,5.0,40.5
120842,0.06696806255006482,6.7,0.4356032280186494,0.7146971919290823,-0.24003511326274884,8.048155879789702,-1.3501034947778527,18.23,1.56,7.0,35.0,29.0,33.0,85.0,15.0,30.0,20.0,33.0,20.0,40.25
100025,0.04455091155784441,4.46,1.0806889261776655,1.794789501993906,-0.04308263824636349,4.333049544115673,-0.3422176726339635,7.37,0.56,36.0,26.0,38.0,2.0,12.5,37.5,7.5,97.5,4.0,92.5,38.5
149322,0.13383520958789363,13.38,0.9123489195402259,1.498429604340459,-0.14844576917771746,13.30751678653264,-1.0532478260407636,12.82,1.54,25.0,30.0,24.0,30.5,40.0,27.500000000000004,42.5,26.25,16.0,62.5,37.5625
119093,0.07891944369437343,7.89,0.5898064431893569,1.006048279087681,-0.21751396370148224,8.09181726569557,1.5830155014591212,12.14,0.75,29.0,33.0,28.0,8.0,30.0,20.0,32.5,82.5,31.0,25.0,35.375
120841,0.13522349085511554,13.52,0.9722209630524324,1.6966599374285385,-0.1757361416468729,13.270798966179028,-0.8324367260956678,12.25,1.59,28.0,29.0,25.0,35.0,32.5,30.0,40.0,15.0,24.0,42.5,31.75
102886,0.0117093879842316,1.17,0.14901539240049871,0.2513776586772372,-0.2800112356639287,3.194911544827528,-3.0680122817594846,15.61,1.51,12.0,40.0,40.0,24.5,72.5,2.5,2.5,41.25,35.0,15.0,30.5625
100016,0.026352458116335464,2.64,0.2408076762991802,0.4194926225044227,-0.24734440880673303,3.500802012277681,0.4843355020744266,14.84,1.55,16.0,37.0,39.0,32.0,62.5,10.0,5.0,22.5,34.0,17.5,27.375
119092,0.0636349475771898,6.36,0.4920533057360716,0.8403225159329937,-0.1440161790933726,6.701143712338227,1.6382992455286165,11.84,1.64,31.0,34.0,31.0,39.5,25.0,17.5,25.0,3.75,15.0,65.0,23.9375
